Solver	Executable.team	Problem	Instance	Exit-code	Exec-Status	Checker-out	Time(user+sys)	Memory-Usage	Time-Limit	Memory-Limit	Real	TrackFormula	Track	RESULT	SCORE	RESULT_IN_MARATHON	SCORE-MARATHON
idlv+-s	idlv+-s.competition.7.aspcomp	CombinedConfiguration	001004_combined_configuration_problem-0-0.asp	1	out of time	ECODE_INVALID_1	1200.94	2523.9	1200	12288	1206.092	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.0.aspcomp	ConnectedMaximim-densityStillLife	001-still_live_4-9-1.asp	30	complete	OK 39@0	11.96	63.3	1200	12288	12.71	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	ConnectedMaximim-densityStillLife	002-still_live_4-9-1.asp	30	complete	OK 38@0	8.81	69.7	1200	12288	9.395	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	ConnectedMaximim-densityStillLife	075-still_live_32-12-1.asp	10	out of time	OK 72@0	1200.96	181.9	1200	12288	1201.911	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	ConnectedMaximim-densityStillLife	003-still_live_4-9-1.asp	30	complete	OK 39@0	12.92	69.8	1200	12288	13.536	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	ConnectedMaximim-densityStillLife	072-still_live_32-12-1.asp	10	out of time	OK 73@0	1200.62	208.8	1200	12288	1201.655	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	ConnectedMaximim-densityStillLife	090-still_live_55-13-1.asp	10	out of time	OK 85@0	1200.18	207.1	1200	12288	1201.146	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.2.aspcomp	ConnectedMaximim-densityStillLife	004-still_live_4-9-1.asp	30	complete	OK 39@0	3.78	63.9	1200	12288	4.037	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	ConnectedMaximim-densityStillLife	073-still_live_32-12-1.asp	10	out of time	OK 75@0	1200.09	175.3	1200	12288	1201.037	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.2.aspcomp	ConnectedMaximim-densityStillLife	109-still_live_78-14-1.asp	10	out of time	OK 102@0	1200.98	199.8	1200	12288	1201.935	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.3.aspcomp	ConnectedMaximim-densityStillLife	005-still_live_4-9-1.asp	30	complete	OK 38@0	9	69.4	1200	12288	9.605	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	ConnectedMaximim-densityStillLife	078-still_live_28-12-1.asp	10	out of time	OK 72@0	1200.44	150.3	1200	12288	1201.567	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.3.aspcomp	ConnectedMaximim-densityStillLife	114-still_live_72-14-1.asp	10	out of time	OK 101@0	1200.26	201.4	1200	12288	1201.246	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.4.aspcomp	ConnectedMaximim-densityStillLife	008-still_live_3-9-1.asp	30	complete	OK 38@0	15.56	69.3	1200	12288	16.218	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.4.aspcomp	ConnectedMaximim-densityStillLife	086-still_live_55-13-1.asp	10	out of time	OK 83@0	1200.11	159.2	1200	12288	1201.08	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.5.aspcomp	ConnectedMaximim-densityStillLife	007-still_live_3-9-1.asp	30	complete	OK 38@0	12.65	66.1	1200	12288	13.348	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	ConnectedMaximim-densityStillLife	080-still_live_28-12-1.asp	10	out of time	OK 70@0	1200.88	195.4	1200	12288	1202	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.6.aspcomp	ConnectedMaximim-densityStillLife	029-still_live_10-10-1.asp	30	complete	OK 48@0	70.19	69.4	1200	12288	71.359	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	ConnectedMaximim-densityStillLife	093-still_live_50-13-1.asp	10	out of time	OK 88@0	1201.03	147.4	1200	12288	1202.103	T3	T3	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.7.aspcomp	ConnectedMaximim-densityStillLife	055-still_live_18-11-1.asp	30	complete	OK 58@0	634.69	129.2	1200	12288	636.367	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.7.aspcomp	ConnectedMaximim-densityStillLife	065-still_live_40-12-1.asp	30	complete	OK 71@0	155.14	71.5	1200	12288	156.468	T3	T3	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	CrewAllocation	010-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	9.2	64.4	1200	12288	9.916	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	CrewAllocation	037-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	22.69	65.3	1200	12288	23.41	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	CrewAllocation	048-crew_allocation-0-0.asp	1	out of time	ECODE_INVALID_1	1201.05	63.7	1200	12288	1202.094	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.1.aspcomp	CrewAllocation	011-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	5.53	70	1200	12288	5.799	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	CrewAllocation	014-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	14.44	69.4	1200	12288	15.056	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	CrewAllocation	042-crew_allocation-0-0.asp	1	out of time	ECODE_INVALID_1	1200.69	69.2	1200	12288	1201.592	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.2.aspcomp	CrewAllocation	015-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	4.14	63.8	1200	12288	4.616	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	CrewAllocation	047-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	543.69	64.4	1200	12288	545.285	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	CrewAllocation	050-crew_allocation-0-0.asp	1	out of time	ECODE_INVALID_1	1200.5	70.1	1200	12288	1201.413	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.3.aspcomp	CrewAllocation	024-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	163.17	64.4	1200	12288	164.492	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	CrewAllocation	039-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	10.41	64.6	1200	12288	11.127	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	CrewAllocation	044-crew_allocation-0-0.asp	1	out of time	ECODE_INVALID_1	1200.16	64	1200	12288	1201.222	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.4.aspcomp	CrewAllocation	018-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	80.39	70.2	1200	12288	81.506	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.4.aspcomp	CrewAllocation	040-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	181.6	64	1200	12288	182.963	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	CrewAllocation	016-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	28.43	65.3	1200	12288	29.65	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	CrewAllocation	036-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	238.92	64.8	1200	12288	240.268	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	CrewAllocation	019-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	31.65	64.8	1200	12288	32.876	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	CrewAllocation	045-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	144.86	64.9	1200	12288	146.147	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.7.aspcomp	CrewAllocation	012-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	26.24	64.6	1200	12288	27.458	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.7.aspcomp	CrewAllocation	038-crew_allocation-0-0.asp	20	complete	NOT_CHECKED	321.05	66	1200	12288	322.444	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	GracefulGraphs	0002-triple_cone_6-24-1.asp	10	complete	OK	7.56	68.6	1200	12288	8.252	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	GracefulGraphs	0007-windmill_5_2-20-1.asp	1	out of time	ECODE_INVALID_1	1200.37	69.8	1200	12288	1201.314	T2	T2	out of time	0	out of time	0
